method,input_file,L1_misses
Hirschberg,test_length_10_file_1.txt,26477
Hirschberg,test_length_20_file_1.txt,26485
Hirschberg,test_length_40_file_1.txt,26506
Hirschberg,test_length_80_file_1.txt,26562
Hirschberg,test_length_160_file_1.txt,26602
Hirschberg,test_length_320_file_1.txt,28144
Affine_0,test_length_10_file_1.txt,26869
Affine_0,test_length_20_file_1.txt,27258
Affine_0,test_length_40_file_1.txt,28614
Affine_0,test_length_80_file_1.txt,34974
Affine_0,test_length_160_file_1.txt,53676
Affine_0,test_length_320_file_1.txt,129235
Affine_1,test_length_10_file_1.txt,26866
Affine_1,test_length_20_file_1.txt,27262
Affine_1,test_length_40_file_1.txt,28612
Affine_1,test_length_80_file_1.txt,34973
Affine_1,test_length_160_file_1.txt,53675
Affine_1,test_length_320_file_1.txt,129235
Affine_2,test_length_10_file_1.txt,26878
Affine_2,test_length_20_file_1.txt,27306
Affine_2,test_length_40_file_1.txt,29306
Affine_2,test_length_80_file_1.txt,53679
Affine_2,test_length_160_file_1.txt,161990
Affine_2,test_length_320_file_1.txt,581692
Global_0,test_length_10_file_1.txt,26887
Global_0,test_length_20_file_1.txt,26977
Global_0,test_length_40_file_1.txt,27316
Global_0,test_length_80_file_1.txt,29146
Global_0,test_length_160_file_1.txt,33956
Global_0,test_length_320_file_1.txt,52990
Global_1,test_length_10_file_1.txt,26885
Global_1,test_length_20_file_1.txt,26974
Global_1,test_length_40_file_1.txt,27294
Global_1,test_length_80_file_1.txt,29175
Global_1,test_length_160_file_1.txt,59550
Global_1,test_length_320_file_1.txt,74403
Global_2,test_length_10_file_1.txt,26883
Global_2,test_length_20_file_1.txt,26974
Global_2,test_length_40_file_1.txt,27311
Global_2,test_length_80_file_1.txt,30138
Global_2,test_length_160_file_1.txt,37869
Global_2,test_length_320_file_1.txt,149225
Local_0,test_length_10_file_1.txt,26941
Local_0,test_length_20_file_1.txt,27054
Local_0,test_length_40_file_1.txt,27417
Local_0,test_length_80_file_1.txt,29177
Local_0,test_length_160_file_1.txt,33833
Local_0,test_length_320_file_1.txt,52637
Local_1,test_length_10_file_1.txt,26935
Local_1,test_length_20_file_1.txt,27048
Local_1,test_length_40_file_1.txt,27391
Local_1,test_length_80_file_1.txt,29235
Local_1,test_length_160_file_1.txt,59403
Local_1,test_length_320_file_1.txt,72353
Local_2,test_length_10_file_1.txt,26948
Local_2,test_length_20_file_1.txt,27062
Local_2,test_length_40_file_1.txt,27422
Local_2,test_length_80_file_1.txt,30201
Local_2,test_length_160_file_1.txt,38007
Local_2,test_length_320_file_1.txt,150655
